path,elapsed_sec
runs\apricot\leaf\apricot_leaf_2026-05-12_18-14-26\telemetry\summary.json,20.0
runs\grape\fruit\grape_fruit_2026-05-09_19-12-43\telemetry\summary.json,20.0
runs\grape\leaf\grape_leaf_2026-05-09_19-19-48\telemetry\summary.json,20.0
runs\strawberry\fruit\strawberry_fruit_2026-05-11_07-36-47\telemetry\summary.json,20.0
runs\strawberry\fruit\strawberry_fruit_2026-05-11_07-46-42\telemetry\summary.json,20.0
runs\tomato\fruit\tomato_fruit_2026-05-07_13-33-55\telemetry\summary.json,20.0
runs\tomato\leaf\tomato_leaf_2026-05-07_13-41-50\telemetry\summary.json,20.0
