epoch,train_loss,val_loss,val_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,balanced_accuracy,generalization_gap
1,1.9628088201795306,1.9057888834416365,0.2773109243697479,0.04667609557509422,0.13865545392036438,0.06984127312898636,0.13968254538143382,0.13865545392036438,-0.05701993673789407
2,1.8843297447477068,1.8086944317617337,0.3277310924369748,0.2188078910112381,0.2009194940328598,0.1870187669992447,0.28885067210477944,0.2009194940328598,-0.07563531298597304
3,1.7717559678213937,1.6274640500044621,0.4369747899159664,0.32055047154426575,0.26652440428733826,0.2519167363643646,0.4087825743090205,0.26652440428733826,-0.14429191781693151
4,1.672240458215986,1.3919575675195004,0.48739495798319327,0.35490551590919495,0.3166612982749939,0.3225553333759308,0.49867748613117124,0.3166612982749939,-0.2802828906964856
5,1.4981993266514368,0.979430765664878,0.6554621848739496,0.48772555589675903,0.5055127739906311,0.47884172201156616,0.6504171034869026,0.5055127739906311,-0.5187685609865589
6,1.4167142833982196,0.7936256918586603,0.7394957983193278,0.6260398030281067,0.6242014169692993,0.6159629225730896,0.7403637541442358,0.6242014169692993,-0.6230885915395593
7,1.3827608925955637,0.7059817514499697,0.7394957983193278,0.659021258354187,0.6389137506484985,0.5991708636283875,0.7384510200564601,0.6389137506484985,-0.676779141145594
8,1.3318212849753244,0.5360028939086849,0.8319327731092437,0.8016752600669861,0.6928519606590271,0.6778610944747925,0.8204719479344472,0.6928519606590271,-0.7958183910666394
9,1.3042004108428955,0.5085449193706032,0.8739495798319328,0.8103975057601929,0.8058804273605347,0.7803854942321777,0.8778471105238971,0.8058804273605347,-0.7956554914722923
10,1.2935250452586582,0.37061598320969014,0.8907563025210085,0.8517408967018127,0.8460296988487244,0.8091560006141663,0.893032170143448,0.8460296988487244,-0.922909062048968
11,1.27149635383061,0.39259583909972373,0.8907563025210085,0.8398655652999878,0.8667336106300354,0.8395859003067017,0.8960023767807904,0.8667336106300354,-0.8789005147308864
12,1.2533610820770265,0.4047347277152438,0.8991596638655462,0.8611925840377808,0.874670147895813,0.8518401384353638,0.8994018170012146,0.874670147895813,-0.8486263543617827
13,1.2450865404946463,0.33908456238378,0.8823529411764706,0.8460111618041992,0.8429241180419922,0.8126029968261719,0.876210316890428,0.8429241180419922,-0.9060019781108664
14,1.234285180909293,0.40806465239084067,0.8823529411764706,0.8635950088500977,0.8468923568725586,0.8329371809959412,0.8808718128364628,0.8468923568725586,-0.8262205285184523
15,1.22886620589665,0.4077176351507171,0.8991596638655462,0.8568722605705261,0.8786383867263794,0.8556216955184937,0.9028400453198858,0.8786383867263794,-0.821148570745933
16,1.2302792855671474,0.4303156287730241,0.8823529411764706,0.8613676428794861,0.8151463866233826,0.8163352608680725,0.8843712045365021,0.8151463866233826,-0.7999636567941233
17,1.2241608449390957,0.40448008114550293,0.8907563025210085,0.8568722605705261,0.8587971329689026,0.8357135057449341,0.8879259253750328,0.8587971329689026,-0.8196807637935928
18,1.2121263776506697,0.380709910593113,0.8907563025210085,0.8522639870643616,0.862765371799469,0.841316282749176,0.892236533285189,0.862765371799469,-0.8314164670575567
19,1.2043854338782174,0.37915617778521626,0.907563025210084,0.868819534778595,0.8788718581199646,0.859006404876709,0.9071924546185661,0.8788718581199646,-0.8252292560930011
