epoch,train_loss,val_loss,val_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,balanced_accuracy,generalization_gap
1,1.9856154294241042,1.8863079076931801,0.17592592592592593,0.10933791100978851,0.14948737621307373,0.0641789585351944,0.07711019045040932,0.14948737621307373,-0.09930752173092405
2,1.9371127457845778,1.9288046889834933,0.10802469135802469,0.07674901932477951,0.1825396865606308,0.0681489109992981,0.06605343171107916,0.1825396865606308,-0.008308056801084485
3,1.9137884208134242,1.8754530203195265,0.2623456790123457,0.28983274102211,0.3310551643371582,0.21656639873981476,0.19159891575942806,0.3310551643371582,-0.03833540049389761
4,1.7692368314379738,1.4502665481449646,0.43209876543209874,0.44266220927238464,0.4224015772342682,0.38434749841690063,0.37559787138008777,0.4224015772342682,-0.31897028329300925
5,1.6526975802012853,1.2377858485704587,0.49382716049382713,0.4966171085834503,0.4806306064128876,0.44861775636672974,0.4530162104853877,0.4806306064128876,-0.4149117316308266
6,1.5623132841927665,1.0552529354154327,0.6111111111111112,0.6269432306289673,0.5911675095558167,0.5862610936164856,0.6029794010115258,0.5911675095558167,-0.5070603487773337
7,1.5210073505129134,0.9629078367610037,0.6450617283950617,0.6333717107772827,0.6544868350028992,0.6225442290306091,0.644089498637635,0.6544868350028992,-0.5580995137519097
8,1.460106991586231,0.8838565459957829,0.7253086419753086,0.7101798057556152,0.702443540096283,0.6978944540023804,0.7246597666799286,0.702443540096283,-0.5762504455904481
9,1.4502037025633312,0.812934669079604,0.7530864197530864,0.7297606468200684,0.728537917137146,0.7217347025871277,0.7555500077612606,0.728537917137146,-0.6372690334837272
10,1.4246515319460915,0.7388070601004141,0.7777777777777778,0.7711199522018433,0.755927562713623,0.7513311505317688,0.7814452559859665,0.755927562713623,-0.6858444718456774
11,1.397930769693284,0.670263057505643,0.7962962962962963,0.769162118434906,0.7741702198982239,0.7633494734764099,0.7989505720727238,0.7741702198982239,-0.7276677121876409
12,1.3741669484547205,0.7303305783389528,0.7932098765432098,0.7768163084983826,0.7783690094947815,0.7691854238510132,0.7942816651897666,0.7783690094947815,-0.6438363701157678
13,1.3722880056926183,0.6369243153819332,0.808641975308642,0.7818445563316345,0.7923101186752319,0.7788354158401489,0.813124762641059,0.7923101186752319,-0.7353636903106852
14,1.3582437208720617,0.6094314511175509,0.8240740740740741,0.7964901924133301,0.8127659559249878,0.7987444996833801,0.8278587247118537,0.8127659559249878,-0.7488122697545108
15,1.3724553357987177,0.5906725172643308,0.8209876543209876,0.7917976975440979,0.8104394674301147,0.7926108241081238,0.8256136105384355,0.8104394674301147,-0.7817828185343869
16,1.3532003221057711,0.6073334342167701,0.8209876543209876,0.790802538394928,0.8071022033691406,0.7904236912727356,0.8258710319613233,0.8071022033691406,-0.745866887889001
17,1.3451146341505504,0.5575329227212035,0.8209876543209876,0.7904201149940491,0.8028932213783264,0.7925224304199219,0.8236651008511767,0.8028932213783264,-0.787581711429347
18,1.338815002214341,0.541703912946913,0.8549382716049383,0.8257956504821777,0.8357016444206238,0.826524555683136,0.8570842036494503,0.8357016444206238,-0.797111089267428
19,1.3342019376300631,0.544170285080686,0.845679012345679,0.8176034688949585,0.8284643292427063,0.8183337450027466,0.8472154405381944,0.8284643292427063,-0.7900316525493771
20,1.3246136392865862,0.5779327268217817,0.8302469135802469,0.8026843667030334,0.8265681862831116,0.8046330213546753,0.8329840766059028,0.8265681862831116,-0.7466809124648045
21,1.326368150256929,0.5722845524181555,0.8302469135802469,0.7972123026847839,0.8169663548469543,0.7998484969139099,0.8334606782889661,0.8169663548469543,-0.7540835978387734
22,1.3314244463330223,0.5415254509375419,0.8395061728395061,0.8095188736915588,0.8214159607887268,0.811475396156311,0.8434704439139661,0.8214159607887268,-0.7898989953954804
23,1.3256265265601022,0.5678007025041698,0.8240740740740741,0.7949981689453125,0.8134155869483948,0.7957966923713684,0.8276343639986015,0.8134155869483948,-0.7578258240559324
24,1.3284642980212258,0.5322315115251659,0.8425925925925926,0.8099023103713989,0.8234696388244629,0.8130457997322083,0.8460942963023245,0.8234696388244629,-0.7962327864960599
25,1.31585617292495,0.5290330681535933,0.8302469135802469,0.7959154844284058,0.8169663548469543,0.7995023727416992,0.8338413003050251,0.8169663548469543,-0.7868231047713568
26,1.326188666479928,0.5351423190699683,0.8364197530864198,0.8032577633857727,0.8216501474380493,0.806297242641449,0.8405808813777971,0.8216501474380493,-0.7910463474099597
27,1.317109919729687,0.5320974731886828,0.8425925925925926,0.8109577894210815,0.8311349153518677,0.8147516846656799,0.8464923434787326,0.8311349153518677,-0.7850124465410041
28,1.3202268169039773,0.527197755045361,0.8395061728395061,0.8063578009605408,0.823992133140564,0.8095248937606812,0.8435206472137828,0.823992133140564,-0.7930290618586162
29,1.3209171862829299,0.5277079163510122,0.8364197530864198,0.8028730750083923,0.821794331073761,0.8067708611488342,0.8404607890564718,0.821794331073761,-0.7932092699319176
30,1.3105570929391044,0.5298020633650414,0.8364197530864198,0.8028730750083923,0.821794331073761,0.8067708611488342,0.8404607890564718,0.821794331073761,-0.780755029574063
