epoch,train_loss,val_loss,val_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,balanced_accuracy,generalization_gap
1,1.6343705892562865,1.7019141912460327,0.05172413793103448,0.01034482754766941,0.20000000298023224,0.019672129303216934,0.005087619882890548,0.20000000298023224,0.06754360198974618
2,1.609100834528605,1.6888457166737523,0.13793103448275862,0.09356725215911865,0.18694117665290833,0.052572570741176605,0.04472896148418558,0.18694117665290833,0.07974488214514719
3,1.605170186360677,1.4740021886496708,0.3620689655172414,0.26558297872543335,0.23254981637001038,0.1868288218975067,0.30032269708041487,0.23254981637001038,-0.1311679977110063
4,1.5906949599583944,1.4311636439685165,0.5287356321839081,0.30134478211402893,0.4223289489746094,0.33556097745895386,0.46932663314643946,0.4223289489746094,-0.1595313159898779
5,1.489554794629415,1.2451911650854965,0.4540229885057471,0.3765522837638855,0.4269121587276459,0.3171144127845764,0.3948779051331268,0.4269121587276459,-0.24436362954391844
6,1.3717758178710937,0.9467911864149159,0.6724137931034483,0.5899834632873535,0.5898984670639038,0.5733141899108887,0.6865913566501661,0.5898984670639038,-0.4249846314561778
7,1.2857038338979085,0.7162396943774717,0.735632183908046,0.5899993181228638,0.6072119474411011,0.5890962481498718,0.7083052711925287,0.6072119474411011,-0.5694641395204368
8,1.2100380818049112,0.6654128840771215,0.7528735632183908,0.6758691668510437,0.6495388150215149,0.6491473913192749,0.7368721797548491,0.6495388150215149,-0.5446251977277897
9,1.1756934642791748,0.6346541869229284,0.7931034482758621,0.7520127296447754,0.7674864530563354,0.7395941615104675,0.7873646527871319,0.7674864530563354,-0.5410392773562464
10,1.1342299461364747,0.6374530350339824,0.7701149425287356,0.7359277606010437,0.7732188701629639,0.7060931921005249,0.765411376953125,0.7732188701629639,-0.4967769111024922
11,1.1369113445281982,0.638879634311487,0.7758620689655172,0.7580065727233887,0.7773004770278931,0.7178787589073181,0.7777777485463812,0.7773004770278931,-0.4980317102167112
12,1.10809268951416,0.5737875884976881,0.8045977011494253,0.7825217247009277,0.8314628601074219,0.7569845914840698,0.8083865286289961,0.8314628601074219,-0.534305101016472
13,1.0823126713434854,0.5474157737696479,0.8275862068965517,0.7889465093612671,0.848484992980957,0.7853718996047974,0.8240193334119074,0.848484992980957,-0.5348968975738375
14,1.06950794061025,0.4667090839818762,0.8735632183908046,0.860399603843689,0.8768347501754761,0.8598538637161255,0.8693513541386045,0.8768347501754761,-0.6027988566283737
15,1.057113234202067,0.47048347740401997,0.8620689655172413,0.8240212202072144,0.8879526257514954,0.8342865705490112,0.8592202197546246,0.8879526257514954,-0.5866297567980471
16,1.0533859809239705,0.45042262615732337,0.8620689655172413,0.820044994354248,0.8761974573135376,0.8254402875900269,0.8636523718121408,0.8761974573135376,-0.6029633547666471
17,1.0393548488616944,0.3821673474940953,0.8793103448275862,0.8539352416992188,0.8923608064651489,0.8642683029174805,0.8771532431416128,0.8923608064651489,-0.6571875013675991
18,1.0231445829073589,0.3911050238791082,0.867816091954023,0.8320331573486328,0.8763607144355774,0.8413623571395874,0.8657353719075521,0.8763607144355774,-0.6320395590282506
19,1.0140663107236227,0.36138763526807827,0.8850574712643678,0.8516866564750671,0.8964424133300781,0.8630515336990356,0.8843275048266882,0.8964424133300781,-0.6526786754555445
20,1.009858822822571,0.37076450343211664,0.8793103448275862,0.836410403251648,0.8891380429267883,0.8456258773803711,0.8791654740256825,0.8891380429267883,-0.6390943193904542
21,1.015326201915741,0.3289791584769585,0.8908045977011494,0.8514885902404785,0.9051381349563599,0.8642590641975403,0.8909321050534303,0.9051381349563599,-0.6863470434387824
22,0.9979074358940124,0.3231165289541642,0.8908045977011494,0.8482052087783813,0.9044424295425415,0.8626043200492859,0.8916507589405981,0.9044424295425415,-0.6747909069398482
23,1.0021697203318278,0.31083980869052225,0.8908045977011494,0.8528760075569153,0.896160900592804,0.8592147827148438,0.8898220719962284,0.896160900592804,-0.6913299116413056
24,0.9928924957911174,0.30611725730404,0.8850574712643678,0.842962384223938,0.8971379995346069,0.8554154634475708,0.8848038596668463,0.8971379995346069,-0.6867752384870773
25,1.005509908994039,0.3368011541576285,0.8908045977011494,0.8576442003250122,0.9012197256088257,0.8660896420478821,0.8908210842088721,0.9012197256088257,-0.6687087548364103
26,0.9893721143404642,0.26655335064399344,0.9022988505747126,0.8664432764053345,0.9172197580337524,0.8815650939941406,0.90222176738169,0.9172197580337524,-0.7228187636964708
27,0.999493416150411,0.31458575930446386,0.8850574712643678,0.842962384223938,0.8971379995346069,0.8554154634475708,0.8848038596668463,0.8971379995346069,-0.6849076568459471
28,0.9896405458450317,0.3115188587810202,0.8850574712643678,0.842962384223938,0.8971379995346069,0.8554154634475708,0.8848038596668463,0.8971379995346069,-0.6781216870640114
29,1.0011527458826701,0.2935051160366756,0.8908045977011494,0.8514885902404785,0.9051381349563599,0.8642590641975403,0.8909321050534303,0.9051381349563599,-0.7076476298459945
30,0.988346008459727,0.3122162813368928,0.8850574712643678,0.842962384223938,0.8971379995346069,0.8554154634475708,0.8848038596668463,0.8971379995346069,-0.6761297271228341
31,0.9946403940518697,0.30948249576613307,0.8850574712643678,0.842962384223938,0.8971379995346069,0.8554154634475708,0.8848038596668463,0.8971379995346069,-0.6851578982857366
32,0.9916470766067504,0.3036427225532203,0.8850574712643678,0.842962384223938,0.8971379995346069,0.8554154634475708,0.8848038596668463,0.8971379995346069,-0.6880043540535301
