epoch,train_loss,val_loss,val_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,balanced_accuracy,generalization_gap
1,2.3044378346410292,2.3026081425078373,0.14729950900163666,0.039984069764614105,0.1296038180589676,0.05326646566390991,0.060965692548236756,0.1296038180589676,-0.0018296921331919513
2,2.1273233767213493,1.925780155849925,0.3625204582651391,0.5485245585441589,0.40001732110977173,0.342911958694458,0.34860968706845846,0.40001732110977173,-0.2015432208714243
3,1.8798370443541428,1.0811599915429535,0.6612111292962357,0.6625745892524719,0.6977227926254272,0.6600860357284546,0.6506448049592113,0.6977227926254272,-0.7986770528111893
4,1.7695203094646847,0.90126086100814,0.7184942716857611,0.7284871935844421,0.7503941059112549,0.7174570560455322,0.7111621113728774,0.7503941059112549,-0.8682594484565448
5,1.7183539702974517,0.7731010984574519,0.7692307692307693,0.7660753130912781,0.7949403524398804,0.7660950422286987,0.7605622286882416,0.7949403524398804,-0.9452528718399998
6,1.6935147499216014,0.6565760761840839,0.7937806873977087,0.792801022529602,0.8124639391899109,0.7919272184371948,0.7890803310562858,0.8124639391899109,-1.0369386737375175
7,1.6669398587325523,0.5840608173716088,0.8289689034369886,0.825871467590332,0.8410305976867676,0.8243516683578491,0.8230548864885945,0.8410305976867676,-1.0828790413609437
8,1.65446963392455,0.53696296014099,0.8527004909983633,0.8479529619216919,0.8626767992973328,0.8491150140762329,0.8508849198611396,0.8626767992973328,-1.11750667378356
9,1.6375617878190403,0.49418034125271876,0.8600654664484452,0.8612313270568848,0.8684539794921875,0.8593450784683228,0.8578058670468495,0.8684539794921875,-1.1433814465663215
10,1.6262111396625125,0.4842621851377128,0.8772504091653028,0.8725881576538086,0.8883117437362671,0.8764646649360657,0.876298520451872,0.8883117437362671,-1.1419489545247998
11,1.621330703126973,0.4284371545145047,0.8772504091653028,0.8758109211921692,0.8802574276924133,0.8751163482666016,0.8762024225462868,0.8802574276924133,-1.1928935486124683
12,1.618900687530123,0.4742336152472004,0.8764320785597381,0.871709942817688,0.8845722079277039,0.873633861541748,0.8755108572652414,0.8845722079277039,-1.1446670722829226
13,1.6135226590880032,0.4253574078826389,0.88379705400982,0.8815085291862488,0.8899438977241516,0.8838449716567993,0.8838290200490998,0.8899438977241516,-1.1881652512053642
14,1.6084307411621357,0.42855179102545676,0.88379705400982,0.8809491991996765,0.8873742818832397,0.8820808529853821,0.883535332063216,0.8873742818832397,-1.1798789501366789
15,1.6018359435015712,0.41111377637632157,0.886252045826514,0.8837137222290039,0.89069002866745,0.88550865650177,0.8860822262428396,0.89069002866745,-1.1907221671252497
16,1.6008209668356796,0.4365374268369472,0.8919803600654664,0.8883754014968872,0.9018514752388,0.8911699056625366,0.8912140741676043,0.9018514752388,-1.1642835399987326
17,1.5973894534439876,0.41408013308545766,0.8944353518821604,0.8904978036880493,0.9046867489814758,0.8948143124580383,0.8943092858147504,0.9046867489814758,-1.1833093203585299
18,1.5958395374232326,0.4204106107963868,0.8919803600654664,0.8888317346572876,0.9023435711860657,0.8924399614334106,0.8918103406940466,0.9023435711860657,-1.1754289266268458
19,1.5975154145010586,0.40448251120294954,0.8919803600654664,0.8885570764541626,0.8990899920463562,0.8916295766830444,0.8918728742583879,0.8990899920463562,-1.193032903298109
20,1.5946152497982156,0.41620743062511795,0.8952536824877251,0.8919206857681274,0.9046089053153992,0.8950689435005188,0.8950078436668883,0.9046089053153992,-1.1784078191730976
21,1.5958760524618214,0.40457457702747146,0.8919803600654664,0.8890306353569031,0.9002810716629028,0.8919431567192078,0.8919556862788973,0.9002810716629028,-1.1913014754343498
22,1.5929057680327317,0.41127594321380856,0.8936170212765957,0.8903287649154663,0.9034517407417297,0.893990695476532,0.8934751719772913,0.9034517407417297,-1.181629824818923
23,1.5923708903378453,0.41323565472216145,0.8927986906710311,0.8908929824829102,0.9023698568344116,0.8935596346855164,0.8927495428856383,0.9023698568344116,-1.179135235615684
24,1.589065568200473,0.41136503584207373,0.8960720130932897,0.8927386403083801,0.9053676724433899,0.8960031270980835,0.8959139809865998,0.9053676724433899,-1.1777005323583993
